Column1;V1;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;-log10
100043387;Gm14305;1,62308957;-0,224289921;1,054909156;-0,212615389;0,831626967;0,999924868;0,080071436
100043424;Morrbid;0,5101357;-0,00347085;2,16884557;-0,001600321;0,998723129;0,999924868;0,000554892
100043468;Zfp955b;3,374479869;0,317178817;0,730457019;0,434219686;0,664128919;0,999924868;0,177747608
100043489;1300002E11Rik;3,002162041;-0,003948543;0,767543616;-0,005144389;0,99589539;0,999924868;0,001786278
100043580;Gm4532;0,620852738;0,57881211;1,832513385;0,315856962;0,75211108;0,999924868;0,123718013
100043597;Srcap;10,24363378;0,136696278;0,426944376;0,320173507;0,748836805;0,999924868;0,125612818
100043609;Gm14207;0,368039111;-0,718093274;2,700784746;-0,265883194;0,790329169;0,999924868;0,102191989
100043766;Gm14057;1,00072068;-0,003947934;1,29958104;-0,003037851;0,997576149;0,999924868;0,001053943
100043772;Zfp850;2,12398723;0,164704054;0,912209489;0,180555076;0,85671682;0,999924868;0,067162706
100043899;R3hdml;0,617560876;-0,587791763;1,834063207;-0,320486099;0,748599866;0,999924868;0,125750255
100043911;Ppp4r1l-ps;1,00072068;-0,003947934;1,29958104;-0,003037851;0,997576149;0,999924868;0,001053943
100043915;Gm4724;1,00072068;-0,003947934;1,29958104;-0,003037851;0,997576149;0,999924868;0,001053943
100044193;Gm20939;3,000805142;-0,003407579;0,776728499;-0,004387091;0,996499619;0,999924868;0,001522863
100044509;Tgfbr3l;2,756911051;-0,004008584;0,820037496;-0,004888294;0,996099722;0,999924868;0,001697181
100048895;9330020H09Rik;0,373177496;0,709849079;2,692946937;0,263595643;0,792091516;0,999924868;0,101224638
100061;Lrrc19;0,49058498;-0,004231589;2,173676044;-0,001946743;0,998446725;0,999924868;0,000675103
100072;Camta1;0,754359828;-0,001418354;1,593540363;-0,000890065;0,999289831;0,999924868;0,000308532
100073351;Yy2;2,367964321;0,147458373;0,869842357;0,169523101;0,865385204;0,999924868;0,062790535
100087;Kti12;41,5719947;0,269339328;0,325042928;0,828626944;0,407315537;0,999924868;0,390069024
100088;Rcc1;32,60086362;0,258239976;0,348677519;0,740626975;0,458919648;0,999924868;0,338263349
100090;Zbtb48;5,753286166;0,121715338;0,562367247;0,216433903;0,828649542;0,999924868;0,081629105
100102;Pcsk9;140,2518265;0,015989355;0,394505423;0,040530128;0,967670488;0,999924868;0,014272504
100113364;Snora15;0,250011054;-1,440940883;3,532704176;-0,407886087;0,683357308;0,999924868;0,165352157
100113398;Adat3;5,481794345;0,386289323;0,613245398;0,62990986;0,528753561;0,999924868;0,276746695
100121;Tdrd7;21,17269376;0,032086026;0,499939502;0,064179817;0,948827048;0,999924868;0,022812943
100124438;Mir343;1,754590401;-0,413291611;1,097208965;-0,376675387;0,706414856;0,999924868;0,150940176
100124459;Mir877;11,2457276;0,385340853;0,426949583;0,902544159;0,366767875;0,999924868;0,435608711
100124641;Mir692-3;63,63923102;0,168476701;0,212431374;0,793087658;0,427726753;0,999924868;0,368833585
